epoch,train_loss,validation_loss,validation_pr_auc,validation_roc_auc,validation_f2_at_0_5,learning_rate,gradient_norm_mean,gradient_norm_max,epoch_seconds,best_epoch,seed,model_key
1,1.285193159030034,1.283877432346344,0.8073009399578212,0.9867661768100331,0.8298755186721992,0.0009979871469976197,0.2864190959013425,0.4572065770626068,0.1220094440000139,12,44,dl_b_tabnet
2,1.2464262430484478,1.190694510936737,0.8182103793883958,0.9878048780487805,0.8032128514056225,0.0009919647942993148,0.34435585943552166,0.6253471970558167,0.11951007300012861,12,44,dl_b_tabnet
3,1.0746207924989553,0.9363148808479309,0.8084320842830117,0.9869585288912825,0.8333333333333334,0.0009819814303479266,0.5951548723074106,1.0160512924194336,0.12306505400010792,12,44,dl_b_tabnet
4,0.7563153230226957,0.5321819484233856,0.8214182768472679,0.9881511117950296,0.8264462809917356,0.0009681174353198686,0.8158047886995169,0.9777100086212158,0.12012584900003276,12,44,dl_b_tabnet
5,0.39238670468330383,0.264048732817173,0.8450066792099318,0.9895360467800262,0.8438818565400844,0.0009504844339512095,0.6379674718930171,0.8964403867721558,0.11894907399982912,12,44,dl_b_tabnet
6,0.2113443108705374,0.18351522833108902,0.8669842291074563,0.9905362776025237,0.8849557522123894,0.000929224396800933,0.3615437172926389,0.5182597041130066,0.11972615900003802,12,44,dl_b_tabnet
7,0.1440582865705857,0.16417187079787254,0.9054006806686492,0.9924597984150189,0.91324200913242,0.0009045084971874736,0.2755108315211076,0.4241495728492737,0.12135670099996787,12,44,dl_b_tabnet
8,0.10901816246601251,0.150651590898633,0.9264988773369152,0.9932292067400169,0.9259259259259259,0.0008765357330018054,0.3103395998477936,0.749553382396698,0.11872517800020432,12,44,dl_b_tabnet
9,0.08511945175436827,0.1528265532106161,0.9461922461605055,0.9935369700700162,0.9345794392523364,0.0008455313244934323,0.2907235874579503,0.6370509266853333,0.13140988799978004,12,44,dl_b_tabnet
10,0.06776691715304668,0.15262100286781788,0.9623681841796157,0.9939601446487651,0.9478672985781991,0.0008117449009293667,0.25697949528694153,0.41543006896972656,0.12063683099995615,12,44,dl_b_tabnet
11,0.051101429387927055,0.14307360909879208,0.9702364017100469,0.9942294375625144,0.9433962264150944,0.0007754484907260511,0.2588281746094043,0.4108118414878845,0.11668693699994037,12,44,dl_b_tabnet
12,0.045951563864946365,0.1650309581309557,0.973421767467231,0.9937677925675156,0.9615384615384616,0.0007369343312364992,0.26368852934012044,0.45634156465530396,0.11882143999991968,12,44,dl_b_tabnet
13,0.04413868596132558,0.14693467505276203,0.9730223047214163,0.9939216742325152,0.9569377990430622,0.0006965125158269617,0.4313062930909487,1.7997617721557617,0.11601448700002948,12,44,dl_b_tabnet
14,0.03758426727010654,0.1764961387962103,0.9726459606353948,0.9933830884050165,0.9615384615384616,0.0006545084971874735,0.23988703695627359,0.3898179531097412,0.12137575199994899,12,44,dl_b_tabnet
15,0.03402686778169412,0.16338819079101086,0.9716159524154213,0.9933446179887666,0.9615384615384616,0.000611260466978157,0.24663112885676897,0.5239448547363281,0.11944288199993025,12,44,dl_b_tabnet
16,0.030803534130637463,0.17732455395162106,0.9699963227961502,0.9927290913287681,0.966183574879227,0.0005671166329088276,0.25259920496207017,0.5846356749534607,0.12043748799987952,12,44,dl_b_tabnet
17,0.02737078335709297,0.1741907224059105,0.9729221862995038,0.9928445025775178,0.9615384615384616,0.0005224324151752573,0.3303524198440405,0.9988707304000854,0.11951536700007637,12,44,dl_b_tabnet
18,0.01986450204052604,0.18448483012616634,0.9713206370123237,0.9928829729937678,0.9569377990430622,0.00047756758482474243,0.24536147369788244,0.7298961281776428,0.11602257300000929,12,44,dl_b_tabnet
19,0.018418885122698087,0.18867936171591282,0.9701914983298573,0.9926136800800185,0.9375,0.0004328833670911722,0.22329625258078942,0.677578866481781,0.11978997699998217,12,44,dl_b_tabnet
