epoch,train_loss,validation_loss,validation_pr_auc,validation_roc_auc,validation_f2_at_0_5,learning_rate,gradient_norm_mean,gradient_norm_max,epoch_seconds,best_epoch,seed,model_key
1,0.9637892062847431,0.8569377660751343,0.7714152039875889,0.982034315611295,0.5466666666666666,0.0009979871469976197,1.832927364569444,4.261564254760742,0.07481868800005032,12,42,dl_a_mlp
2,0.6562367952786959,0.613417774438858,0.7967815003791126,0.985573593906286,0.6174698795180723,0.0009919647942993148,0.9808297065588144,1.237513542175293,0.06756473999985246,12,42,dl_a_mlp
3,0.525160035261741,0.49504515528678894,0.8048211777467212,0.9855351234900361,0.6968641114982579,0.0009819814303479266,0.8502247975422785,1.1387125253677368,0.06823235999991084,12,42,dl_a_mlp
4,0.43145069709190953,0.41323238611221313,0.8088213962887898,0.9848811264137878,0.7575757575757576,0.0009681174353198686,0.7761566501397353,1.7547366619110107,0.06717437199995402,12,42,dl_a_mlp
5,0.3713821470737457,0.3511023074388504,0.8231723754594272,0.9850350080787874,0.7905138339920948,0.0009504844339512095,0.6930915621610788,1.0594744682312012,0.06703437300029691,12,42,dl_a_mlp
6,0.3198788509919093,0.30813926458358765,0.8382974981348883,0.9849195968300377,0.8264462809917356,0.000929224396800933,0.6205652081049405,0.8849619030952454,0.06622457200001008,12,42,dl_a_mlp
7,0.28682457369107467,0.2734633982181549,0.8723171438293882,0.9823420789412942,0.8403361344537815,0.0009045084971874736,0.5780130716470572,0.9728327393531799,0.0667297499999222,12,42,dl_a_mlp
8,0.25073982775211334,0.2472522035241127,0.9074476535644326,0.9851119489112872,0.8438818565400844,0.0008765357330018054,0.5937572969840124,0.8326746225357056,0.06628425500002777,12,42,dl_a_mlp
9,0.22114290411655718,0.2309441938996315,0.9144724257601263,0.9845348926675386,0.8547008547008547,0.0008455313244934323,0.5847394466400146,1.0741170644760132,0.06798954799978674,12,42,dl_a_mlp
10,0.21032946040997139,0.21954236924648285,0.9112270315431084,0.9846887743325383,0.8583690987124464,0.0008117449009293667,0.6110234352258536,1.0512936115264893,0.06673487499983821,12,42,dl_a_mlp
11,0.19374654384759757,0.20180782675743103,0.949710530156041,0.9890744017850273,0.8620689655172413,0.0007754484907260511,0.5799414286246667,0.9875089526176453,0.06954688799987707,12,42,dl_a_mlp
12,0.17639698546666366,0.18795037642121315,0.9730954471073808,0.99195968300377,0.8733624454148472,0.0007369343312364992,0.6522600513238174,2.130788803100586,0.06656300300028306,12,42,dl_a_mlp
13,0.16711431225905052,0.18273086845874786,0.968163284663001,0.9889205201200276,0.8733624454148472,0.0006965125158269617,0.7906265877760373,3.4799580574035645,0.06578448200025377,12,42,dl_a_mlp
14,0.14844219386577606,0.175468310713768,0.9713048053704746,0.9856505347387858,0.8658008658008658,0.0006545084971874735,0.49259887291834903,0.9722030758857727,0.06569320999960837,12,42,dl_a_mlp
15,0.13617148193029258,0.17268407717347145,0.9721190341132585,0.9850734784950373,0.8658008658008658,0.000611260466978157,0.47751032618375927,1.186753749847412,0.07250642400003926,12,42,dl_a_mlp
16,0.13073596530235732,0.1665949672460556,0.9704933830900518,0.9854197122412865,0.8658008658008658,0.0005671166329088276,0.5384400716194739,1.233083963394165,0.06726042600030269,12,42,dl_a_mlp
17,0.12641818362932938,0.160740926861763,0.9722796362898461,0.9863045318150343,0.8733624454148472,0.0005224324151752573,0.5779978655851804,0.8618110418319702,0.06312258699972517,12,42,dl_a_mlp
18,0.12534144119574472,0.15369540452957153,0.9724908361793938,0.991190274678772,0.8771929824561403,0.00047756758482474243,0.6218054776008313,1.6531102657318115,0.06415101599986883,12,42,dl_a_mlp
19,0.11432951918015113,0.15147292241454124,0.9729067126807079,0.9921520350850196,0.8771929824561403,0.0004328833670911722,0.47439892475421613,0.7464767694473267,0.06693946299992604,12,42,dl_a_mlp
