epoch,train_loss,validation_loss,validation_pr_auc,validation_roc_auc,validation_f2_at_0_5,learning_rate,gradient_norm_mean,gradient_norm_max,epoch_seconds,best_epoch,seed,model_key
1,1.3124262415445769,1.2934115529060364,0.22070114933814017,0.8193429252904516,0.4528301886792453,0.0009979871469976197,0.5085260249101199,0.9866544604301453,1.8246392340001876,27,42,dl_e_transformer
2,1.2992321252822876,1.267082691192627,0.24543738916069008,0.8345772101254135,0.43316831683168316,0.0009919647942993148,0.48893960966513705,1.3347522020339966,1.7300607199999831,27,42,dl_e_transformer
3,1.265102281020238,1.2085667252540588,0.31070455655378,0.8632376702315919,0.45662100456621,0.0009819814303479266,0.8542992770671844,2.160438060760498,1.740653980999923,27,42,dl_e_transformer
4,1.127409504010127,0.9173814654350281,0.5033749607630261,0.9077094714164807,0.4945054945054945,0.0009681174353198686,2.3453697837316074,5.813478946685791,1.7434257579998302,27,42,dl_e_transformer
5,0.770299677665417,0.6402936279773712,0.46557168306232033,0.9430637839501422,0.6678700361010831,0.0009504844339512095,5.255244135856628,15.546981811523438,1.76654058899976,27,42,dl_e_transformer
6,0.5175242699109591,0.37659288942813873,0.5792549253444504,0.9743402323613142,0.7722007722007722,0.000929224396800933,6.536805556370662,13.74167251586914,1.8148697799997535,27,42,dl_e_transformer
7,0.36019323422358585,0.28698354959487915,0.864238913402561,0.9889589905362776,0.8097165991902834,0.0009045084971874736,8.836102045499361,18.205585479736328,1.7631476189999375,27,42,dl_e_transformer
8,0.2981209262059285,0.33687371015548706,0.4347381573158796,0.9603754712625991,0.7620817843866171,0.0008765357330018054,15.326996803283691,42.02983856201172,1.7663647619997391,27,42,dl_e_transformer
9,0.27746359889323896,0.33741703629493713,0.44818596399483546,0.9651458028775872,0.7564575645756457,0.0008455313244934323,13.18474373450646,34.805171966552734,1.7793835259999469,27,42,dl_e_transformer
10,0.256932869553566,0.24163664877414703,0.9420476000394229,0.9954989612987613,0.823045267489712,0.0008117449009293667,13.584539743570181,43.65203094482422,1.8331288120002682,27,42,dl_e_transformer
11,0.25089771243242115,0.25156067311763763,0.8882925577467939,0.993998615065015,0.8064516129032258,0.0007754484907260511,16.73137762913337,44.56639862060547,1.8391188939999665,27,42,dl_e_transformer
12,0.2155057696195749,0.343307688832283,0.47073146409236016,0.964453335385089,0.7592592592592593,0.0007369343312364992,8.02708576275752,16.08605194091797,1.753311290000056,27,42,dl_e_transformer
13,0.2177206060061088,0.16544745117425919,0.9497668713607439,0.9954989612987613,0.9009009009009009,0.0006965125158269617,16.396355454738323,55.4464111328125,1.7287170539998442,27,42,dl_e_transformer
14,0.36842283319968444,0.15914199501276016,0.9513605525472366,0.9957297837962606,0.9090909090909091,0.0006545084971874735,29.988226707165058,136.91873168945312,1.8953633869996338,27,42,dl_e_transformer
15,0.191081159389936,0.1596912443637848,0.951690730711951,0.9958451950450103,0.9090909090909091,0.000611260466978157,12.88340449333191,71.12675476074219,1.7148604089998116,27,42,dl_e_transformer
