epoch,train_loss,validation_loss,validation_pr_auc,validation_roc_auc,validation_f2_at_0_5,learning_rate,gradient_norm_mean,gradient_norm_max,epoch_seconds,best_epoch,seed,model_key
1,1.173203468322754,1.189822018146515,0.37422107533148724,0.90005385858275,0.30280649926144754,0.0009979871469976197,0.5513652425545913,0.8474774360656738,0.7037247419998494,28,44,dl_c_cnn1d
2,0.9663956807209895,0.9606925249099731,0.4089691713916217,0.9149803800877125,0.5121293800539084,0.0009919647942993148,0.7368993231883416,1.4922066926956177,0.6837175579998984,28,44,dl_c_cnn1d
3,0.7774559534513034,0.7822360396385193,0.46434994442093447,0.9342540586289143,0.6694560669456067,0.0009819814303479266,0.7797936613743122,1.7771780490875244,0.6873995300002207,28,44,dl_c_cnn1d
4,0.6369243218348577,0.788905143737793,0.5603312335293885,0.9591059475263523,0.6341463414634146,0.0009681174353198686,0.8458965053925147,1.5911802053451538,0.6953282699996635,28,44,dl_c_cnn1d
5,0.5215171277523041,0.7944256961345673,0.7555530513428287,0.9786489189813034,0.6091370558375635,0.0009504844339512095,1.0508089248950665,2.1591439247131348,0.7043169379999199,28,44,dl_c_cnn1d
6,0.3969896894234877,0.9993560910224915,0.8928315020324575,0.9915365084250212,0.3672316384180791,0.000929224396800933,1.0908166766166687,2.366276264190674,0.7060437730001468,28,44,dl_c_cnn1d
7,0.33089276689749497,1.8372090458869934,0.9451025326724976,0.9953450796337616,0.0,0.0009045084971874736,1.468922184063838,4.024857044219971,0.6967204980001043,28,44,dl_c_cnn1d
8,0.26434498681471896,0.5308349579572678,0.9291848869864625,0.9943063783950142,0.7868020304568528,0.0008765357330018054,1.3592625581301176,3.9681057929992676,0.7086406810003609,28,44,dl_c_cnn1d
9,0.2536187171936035,0.23348025977611542,0.8962811746673829,0.9916134492575209,0.8333333333333334,0.0008455313244934323,1.690860159122027,4.331416130065918,0.7146065430001727,28,44,dl_c_cnn1d
10,0.1858106295649822,0.2692309468984604,0.9574048734692111,0.9962683696237593,0.9047619047619048,0.0008117449009293667,1.0238607755074134,1.7617440223693848,0.7097765769999569,28,44,dl_c_cnn1d
11,0.16677206869308764,0.21935171633958817,0.9639086312660523,0.9966146033700085,0.9198113207547169,0.0007754484907260511,1.321120186493947,4.014729976654053,0.7049315130002469,28,44,dl_c_cnn1d
12,0.1712984895476928,0.4180397093296051,0.9539608998552103,0.9963453104562592,0.845771144278607,0.0007369343312364992,1.808868435712961,4.21278190612793,0.6968302720001702,28,44,dl_c_cnn1d
13,0.15985529296673262,0.1949002370238304,0.9645810923279131,0.9968454258675079,0.9285714285714286,0.0006965125158269617,1.4011349815588732,3.673560619354248,0.6970676249998178,28,44,dl_c_cnn1d
14,0.13100368300309548,0.15158604830503464,0.9506394250806673,0.9963453104562592,0.9069767441860465,0.0006545084971874735,1.1069667706122766,3.7583587169647217,0.7165209299996604,28,44,dl_c_cnn1d
