epoch,train_loss,validation_loss,validation_pr_auc,validation_roc_auc,validation_f2_at_0_5,learning_rate,gradient_norm_mean,gradient_norm_max,epoch_seconds,best_epoch,seed,model_key
1,1.4346600495851958,1.407550036907196,0.05162458208154875,0.31891975071170275,0.14925373134328357,0.0009979871469976197,0.2664162482206638,0.47883376479148865,0.0663989589997982,25,42,dl_d_autoencoder
2,1.3753727949582613,1.3288115859031677,0.2985686565764225,0.7729860737093175,0.30664395229982966,0.0009919647942993148,0.24056378236183754,0.3930796980857849,0.06587592900041273,25,42,dl_d_autoencoder
3,1.3038561619245088,1.262435495853424,0.5953299767187749,0.9666846195275833,0.5924855491329479,0.0009819814303479266,0.2456703518445675,0.33755964040756226,0.06679485999984536,25,42,dl_d_autoencoder
4,1.2515061451838567,1.193490207195282,0.6048581503567229,0.9754943448488113,0.7765151515151515,0.0009681174353198686,0.33801619364665103,0.5565012693405151,0.06549374400037777,25,42,dl_d_autoencoder
5,1.178469194815709,1.151175618171692,0.6484767130224585,0.9790720935600523,0.8298755186721992,0.0009504844339512095,0.412397359426205,0.45057618618011475,0.06362703900003908,25,42,dl_d_autoencoder
6,1.1355135715924776,1.1294511556625366,0.6866368092083164,0.9786104485650535,0.8438818565400844,0.000929224396800933,0.43636513444093555,0.5185825228691101,0.06615198600002259,25,42,dl_d_autoencoder
7,1.09685545701247,1.1151691675186157,0.7549029055550572,0.9811110256212974,0.8547008547008547,0.0009045084971874736,0.4445166908777677,0.490272581577301,0.06428640500007532,25,42,dl_d_autoencoder
8,1.0731229369456952,1.0966683626174927,0.7440896744168167,0.9831114872662923,0.847457627118644,0.0008765357330018054,0.4672397948228396,0.5576229095458984,0.0655564690000574,25,42,dl_d_autoencoder
9,1.0539503556031447,1.0875728130340576,0.772828292208879,0.9845348926675387,0.8810572687224669,0.0008455313244934323,0.44710628573711103,0.48834747076034546,0.06457286700015175,25,42,dl_d_autoencoder
10,1.0457941798063426,1.0732477903366089,0.78338588623923,0.9863045318150343,0.8771929824561403,0.0008117449009293667,0.4652608839365152,0.5228748917579651,0.06513542799984862,25,42,dl_d_autoencoder
11,1.020540828888233,1.0632045269012451,0.8361242218440933,0.9882665230437793,0.8849557522123894,0.0007754484907260511,0.46009530012424177,0.5639704465866089,0.06516601699968305,25,42,dl_d_autoencoder
12,1.049235577766712,1.054923176765442,0.8763683417174596,0.9898822805262754,0.8888888888888888,0.0007369343312364992,0.47617207352931684,0.7257919311523438,0.06740498399994976,25,42,dl_d_autoencoder
13,1.0346149939757128,1.0485523343086243,0.8810261305721243,0.9883049934600292,0.8888888888888888,0.0006965125158269617,0.4869217093174274,0.8019289970397949,0.06597743900010755,25,42,dl_d_autoencoder
14,1.0122615511600788,1.0399510860443115,0.9333450238068993,0.9910363930137724,0.8968609865470852,0.0006545084971874735,0.46415993571281433,0.612665593624115,0.06816221200006112,25,42,dl_d_autoencoder
15,0.9986887711745042,1.0329161882400513,0.9245194817787632,0.9912672155112718,0.8888888888888888,0.000611260466978157,0.4672104762150691,0.5828166604042053,0.1969360019998021,25,42,dl_d_autoencoder
16,0.9907972445854774,1.0237921476364136,0.9242421944529204,0.9919981534200201,0.8888888888888888,0.0005671166329088276,0.468964342887585,0.5553804039955139,0.06545557099980215,25,42,dl_d_autoencoder
17,0.9904304513564477,1.0209713578224182,0.9489336563495062,0.9913441563437716,0.8968609865470852,0.0005224324151752573,0.46520819113804746,0.5585036277770996,0.06586797199997818,25,42,dl_d_autoencoder
18,1.002015246794774,1.0180620551109314,0.9546389538787985,0.9913056859275218,0.9049773755656109,0.00047756758482474243,0.4988859227070442,0.984943687915802,0.06456705100026738,25,42,dl_d_autoencoder
19,0.9968963632216821,1.0154187083244324,0.9607302087246345,0.9893052242825267,0.8968609865470852,0.0004328833670911722,0.485052785048118,0.7747435569763184,0.06563726399963343,25,42,dl_d_autoencoder
20,0.9668579560059768,1.0065339505672455,0.958287309626768,0.9914980380087712,0.8928571428571429,0.00038873953302184273,0.4513320212180798,0.5798271894454956,0.0652678419996846,25,42,dl_d_autoencoder
21,0.9726013220273532,1.0087126791477203,0.9598965350672175,0.9901515734400246,0.9049773755656109,0.0003454915028125262,0.4555629170857943,0.5552057027816772,0.06583643300018593,25,42,dl_d_autoencoder
22,0.9529489691440876,1.0021238923072815,0.9597768238771842,0.9911133338462721,0.9090909090909091,0.00030348748417303827,0.44897668407513547,0.5075231194496155,0.06491352200009715,25,42,dl_d_autoencoder
23,0.9554965496063232,1.00029718875885,0.9570083543060406,0.9911133338462722,0.9090909090909091,0.0002630656687635006,0.462136468062034,0.679995059967041,0.06682959299996583,25,42,dl_d_autoencoder
24,0.9524354980542109,0.995255708694458,0.9615371998425617,0.9917673309225206,0.9090909090909091,0.00022455150927394875,0.455046873826247,0.6548359990119934,0.06572496099988712,25,42,dl_d_autoencoder
25,0.9491940369972816,0.9960796236991882,0.9660486941654102,0.9915749788412711,0.91324200913242,0.00018825509907063323,0.44152512229405916,0.5376275777816772,0.0655729310001334,25,42,dl_d_autoencoder
26,0.9480795722741348,0.9914349317550659,0.9622419735743292,0.9921520350850197,0.9049773755656109,0.00015446867550656765,0.44584070031459516,0.5848050713539124,0.06453325599977688,25,42,dl_d_autoencoder
27,0.9507251794521625,0.9923696517944336,0.9640340267942398,0.9918442717550204,0.91324200913242,0.00012346426699819455,0.46426722407341003,0.6377624869346619,0.06473104300039267,25,42,dl_d_autoencoder
28,0.9553031325340271,0.9926560521125793,0.9609423788170066,0.9904593367700238,0.91324200913242,9.549150281252631e-05,0.44356330541464,0.5836272239685059,0.06440881300022738,25,42,dl_d_autoencoder
29,0.9391513237586389,0.9909137487411499,0.9602514141733005,0.9911133338462721,0.91324200913242,7.077560319906693e-05,0.45346124126360965,0.5713949203491211,0.06401217600023301,25,42,dl_d_autoencoder
30,0.9420198385532086,0.9889530539512634,0.9622219643368454,0.9914595675925213,0.9090909090909091,4.951556604879047e-05,0.4453336688188406,0.5558812022209167,0.066800871000396,25,42,dl_d_autoencoder
31,0.9408309643085186,0.9887547791004181,0.9630345844681314,0.9912672155112718,0.9090909090909091,3.188256468013139e-05,0.43852808613043565,0.5323033928871155,0.0641234509998867,25,42,dl_d_autoencoder
32,0.9463250866303077,0.9905731379985809,0.9640922943673936,0.9906132184350235,0.9216589861751152,1.8018569652073372e-05,0.4541167983641991,0.58709716796875,0.06471106899971346,25,42,dl_d_autoencoder
