recall,precision
1.0,0.06074074074074074
1.0,0.08384458077709611
1.0,0.09624413145539906
1.0,0.0985576923076923
1.0,0.12349397590361445
1.0,0.12576687116564417
1.0,0.12654320987654322
1.0,0.13898305084745763
1.0,0.1404109589041096
1.0,0.15471698113207547
1.0,0.1553030303030303
1.0,0.15648854961832062
1.0,0.15708812260536398
1.0,0.15953307392996108
1.0,0.16015625
1.0,0.1607843137254902
1.0,0.16532258064516128
1.0,0.17012448132780084
1.0,0.17083333333333334
1.0,0.1729957805907173
1.0,0.17372881355932204
1.0,0.18141592920353983
1.0,0.18222222222222223
1.0,0.18385650224215247
1.0,0.18468468468468469
1.0,0.18552036199095023
1.0,0.1889400921658986
1.0,0.18981481481481483
1.0,0.19158878504672897
1.0,0.23837209302325582
1.0,0.23976608187134502
1.0,0.24260355029585798
1.0,0.24550898203592814
1.0,0.271523178807947
1.0,0.2751677852348993
1.0,0.2789115646258503
1.0,0.2847222222222222
1.0,0.2867132867132867
1.0,0.2887323943661972
1.0,0.328
1.0,0.3360655737704918
1.0,0.33884297520661155
1.0,0.35344827586206895
1.0,0.3565217391304348
1.0,0.35964912280701755
1.0,0.36607142857142855
1.0,0.36936936936936937
1.0,0.3761467889908257
1.0,0.38317757009345793
1.0,0.3904761904761905
1.0,0.3942307692307692
1.0,0.39805825242718446
1.0,0.4019607843137255
1.0,0.41
1.0,0.41414141414141414
1.0,0.41836734693877553
1.0,0.422680412371134
1.0,0.4270833333333333
1.0,0.43617021276595747
1.0,0.44565217391304346
1.0,0.4606741573033708
1.0,0.4659090909090909
1.0,0.47126436781609193
1.0,0.4823529411764706
1.0,0.4880952380952381
1.0,0.4939759036144578
1.0,0.5
1.0,0.5061728395061729
1.0,0.5125
1.0,0.5189873417721519
1.0,0.5394736842105263
1.0,0.5694444444444444
1.0,0.5857142857142857
1.0,0.5942028985507246
1.0,0.640625
1.0,0.6507936507936508
1.0,0.6721311475409836
1.0,0.6833333333333333
1.0,0.6949152542372882
1.0,0.7068965517241379
1.0,0.7192982456140351
1.0,0.7321428571428571
1.0,0.7454545454545455
1.0,0.7592592592592593
1.0,0.7735849056603774
1.0,0.7884615384615384
1.0,0.803921568627451
1.0,0.82
1.0,0.8367346938775511
1.0,0.8541666666666666
1.0,0.8723404255319149
1.0,0.8913043478260869
1.0,0.9111111111111111
1.0,0.9318181818181818
1.0,0.9534883720930233
1.0,0.9761904761904762
1.0,1.0
0.975609756097561,1.0
0.9512195121951219,1.0
0.926829268292683,1.0
0.9024390243902439,1.0
0.8780487804878049,1.0
0.8536585365853658,1.0
0.8292682926829268,1.0
0.8048780487804879,1.0
0.7804878048780488,1.0
0.7560975609756098,1.0
0.7317073170731707,1.0
0.7073170731707317,1.0
0.6829268292682927,1.0
0.6585365853658537,1.0
0.6341463414634146,1.0
0.6097560975609756,1.0
0.5853658536585366,1.0
0.5609756097560976,1.0
0.5365853658536586,1.0
0.5121951219512195,1.0
0.4878048780487805,1.0
0.4146341463414634,1.0
0.3902439024390244,1.0
0.36585365853658536,1.0
0.12195121951219512,1.0
0.04878048780487805,1.0
0.0,1.0
