threshold,precision,recall,f1,f2,specificity,false_positive,false_negative
0.01,0.5333333333333333,0.975609756097561,0.6896551724137931,0.8368200836820083,0.944794952681388,35,1
0.02,0.5333333333333333,0.975609756097561,0.6896551724137931,0.8368200836820083,0.944794952681388,35,1
0.03,0.5333333333333333,0.975609756097561,0.6896551724137931,0.8368200836820083,0.944794952681388,35,1
0.04,0.5333333333333333,0.975609756097561,0.6896551724137931,0.8368200836820083,0.944794952681388,35,1
0.05,0.5333333333333333,0.975609756097561,0.6896551724137931,0.8368200836820083,0.944794952681388,35,1
0.060000000000000005,0.5333333333333333,0.975609756097561,0.6896551724137931,0.8368200836820083,0.944794952681388,35,1
0.06999999999999999,0.5333333333333333,0.975609756097561,0.6896551724137931,0.8368200836820083,0.944794952681388,35,1
0.08,0.5333333333333333,0.975609756097561,0.6896551724137931,0.8368200836820083,0.944794952681388,35,1
0.09,0.5333333333333333,0.975609756097561,0.6896551724137931,0.8368200836820083,0.944794952681388,35,1
0.09999999999999999,0.5333333333333333,0.975609756097561,0.6896551724137931,0.8368200836820083,0.944794952681388,35,1
0.11,0.5333333333333333,0.975609756097561,0.6896551724137931,0.8368200836820083,0.944794952681388,35,1
0.12,0.5333333333333333,0.975609756097561,0.6896551724137931,0.8368200836820083,0.944794952681388,35,1
0.13,0.5333333333333333,0.975609756097561,0.6896551724137931,0.8368200836820083,0.944794952681388,35,1
0.14,0.5333333333333333,0.975609756097561,0.6896551724137931,0.8368200836820083,0.944794952681388,35,1
0.15000000000000002,0.5333333333333333,0.975609756097561,0.6896551724137931,0.8368200836820083,0.944794952681388,35,1
0.16,0.5333333333333333,0.975609756097561,0.6896551724137931,0.8368200836820083,0.944794952681388,35,1
0.17,0.5333333333333333,0.975609756097561,0.6896551724137931,0.8368200836820083,0.944794952681388,35,1
0.18000000000000002,0.5333333333333333,0.975609756097561,0.6896551724137931,0.8368200836820083,0.944794952681388,35,1
0.19,0.547945205479452,0.975609756097561,0.7017543859649122,0.8438818565400844,0.9479495268138801,33,1
0.2,0.5757575757575758,0.926829268292683,0.7102803738317757,0.8260869565217391,0.9558359621451105,28,3
0.21000000000000002,0.6229508196721312,0.926829268292683,0.7450980392156863,0.8444444444444444,0.9637223974763407,23,3
0.22,0.6440677966101694,0.926829268292683,0.76,0.852017937219731,0.9668769716088328,21,3
0.23,0.6440677966101694,0.926829268292683,0.76,0.852017937219731,0.9668769716088328,21,3
0.24000000000000002,0.6440677966101694,0.926829268292683,0.76,0.852017937219731,0.9668769716088328,21,3
0.25,0.6440677966101694,0.926829268292683,0.76,0.852017937219731,0.9668769716088328,21,3
0.26,0.6440677966101694,0.926829268292683,0.76,0.852017937219731,0.9668769716088328,21,3
0.27,0.6440677966101694,0.926829268292683,0.76,0.852017937219731,0.9668769716088328,21,3
0.28,0.6440677966101694,0.926829268292683,0.76,0.852017937219731,0.9668769716088328,21,3
0.29000000000000004,0.6440677966101694,0.926829268292683,0.76,0.852017937219731,0.9668769716088328,21,3
0.3,0.6440677966101694,0.926829268292683,0.76,0.852017937219731,0.9668769716088328,21,3
0.31,0.6440677966101694,0.926829268292683,0.76,0.852017937219731,0.9668769716088328,21,3
0.32,0.6440677966101694,0.926829268292683,0.76,0.852017937219731,0.9668769716088328,21,3
0.33,0.6440677966101694,0.926829268292683,0.76,0.852017937219731,0.9668769716088328,21,3
0.34,0.6440677966101694,0.926829268292683,0.76,0.852017937219731,0.9668769716088328,21,3
0.35000000000000003,0.6440677966101694,0.926829268292683,0.76,0.852017937219731,0.9668769716088328,21,3
0.36000000000000004,0.6440677966101694,0.926829268292683,0.76,0.852017937219731,0.9668769716088328,21,3
0.37,0.6440677966101694,0.926829268292683,0.76,0.852017937219731,0.9668769716088328,21,3
0.38,0.6428571428571429,0.8780487804878049,0.7422680412371134,0.8181818181818182,0.9684542586750788,20,5
0.39,0.6666666666666666,0.8780487804878049,0.7578947368421053,0.8256880733944955,0.9716088328075709,18,5
0.4,0.6888888888888889,0.7560975609756098,0.7209302325581395,0.7416267942583732,0.9779179810725552,14,10
0.41000000000000003,0.75,0.7317073170731707,0.7407407407407407,0.7352941176470589,0.9842271293375394,10,11
0.42000000000000004,0.7631578947368421,0.7073170731707317,0.7341772151898734,0.7178217821782178,0.9858044164037855,9,12
0.43,0.7631578947368421,0.7073170731707317,0.7341772151898734,0.7178217821782178,0.9858044164037855,9,12
0.44,0.7631578947368421,0.7073170731707317,0.7341772151898734,0.7178217821782178,0.9858044164037855,9,12
0.45,0.7837837837837838,0.7073170731707317,0.7435897435897436,0.7213930348258707,0.9873817034700315,8,12
0.46,0.8055555555555556,0.7073170731707317,0.7532467532467533,0.725,0.9889589905362776,7,12
0.47000000000000003,0.8055555555555556,0.7073170731707317,0.7532467532467533,0.725,0.9889589905362776,7,12
0.48000000000000004,0.8055555555555556,0.7073170731707317,0.7532467532467533,0.725,0.9889589905362776,7,12
0.49,0.8055555555555556,0.7073170731707317,0.7532467532467533,0.725,0.9889589905362776,7,12
0.5,0.8055555555555556,0.7073170731707317,0.7532467532467533,0.725,0.9889589905362776,7,12
0.51,0.8055555555555556,0.7073170731707317,0.7532467532467533,0.725,0.9889589905362776,7,12
0.52,0.8055555555555556,0.7073170731707317,0.7532467532467533,0.725,0.9889589905362776,7,12
0.53,0.8055555555555556,0.7073170731707317,0.7532467532467533,0.725,0.9889589905362776,7,12
0.54,0.8055555555555556,0.7073170731707317,0.7532467532467533,0.725,0.9889589905362776,7,12
0.55,0.8055555555555556,0.7073170731707317,0.7532467532467533,0.725,0.9889589905362776,7,12
0.56,0.8055555555555556,0.7073170731707317,0.7532467532467533,0.725,0.9889589905362776,7,12
0.5700000000000001,0.8,0.6829268292682927,0.7368421052631579,0.7035175879396985,0.9889589905362776,7,13
0.5800000000000001,0.7941176470588235,0.6585365853658537,0.72,0.6818181818181818,0.9889589905362776,7,14
0.59,0.8571428571428571,0.5853658536585366,0.6956521739130435,0.625,0.9936908517350158,4,17
0.6,0.8181818181818182,0.43902439024390244,0.5714285714285714,0.4838709677419355,0.9936908517350158,4,23
0.61,0.8333333333333334,0.36585365853658536,0.5084745762711864,0.41208791208791207,0.9952681388012619,3,26
0.62,0.8571428571428571,0.2926829268292683,0.43636363636363634,0.33707865168539325,0.9968454258675079,2,29
0.63,0.8571428571428571,0.2926829268292683,0.43636363636363634,0.33707865168539325,0.9968454258675079,2,29
0.64,0.8571428571428571,0.2926829268292683,0.43636363636363634,0.33707865168539325,0.9968454258675079,2,29
0.65,0.8571428571428571,0.2926829268292683,0.43636363636363634,0.33707865168539325,0.9968454258675079,2,29
0.66,0.8571428571428571,0.2926829268292683,0.43636363636363634,0.33707865168539325,0.9968454258675079,2,29
0.67,0.8571428571428571,0.2926829268292683,0.43636363636363634,0.33707865168539325,0.9968454258675079,2,29
0.68,0.8571428571428571,0.2926829268292683,0.43636363636363634,0.33707865168539325,0.9968454258675079,2,29
0.6900000000000001,0.8571428571428571,0.2926829268292683,0.43636363636363634,0.33707865168539325,0.9968454258675079,2,29
0.7000000000000001,0.8571428571428571,0.2926829268292683,0.43636363636363634,0.33707865168539325,0.9968454258675079,2,29
0.7100000000000001,0.8571428571428571,0.2926829268292683,0.43636363636363634,0.33707865168539325,0.9968454258675079,2,29
0.72,0.8571428571428571,0.2926829268292683,0.43636363636363634,0.33707865168539325,0.9968454258675079,2,29
0.73,0.8571428571428571,0.2926829268292683,0.43636363636363634,0.33707865168539325,0.9968454258675079,2,29
0.74,0.8571428571428571,0.2926829268292683,0.43636363636363634,0.33707865168539325,0.9968454258675079,2,29
0.75,0.8571428571428571,0.2926829268292683,0.43636363636363634,0.33707865168539325,0.9968454258675079,2,29
0.76,0.8571428571428571,0.2926829268292683,0.43636363636363634,0.33707865168539325,0.9968454258675079,2,29
0.77,0.8571428571428571,0.2926829268292683,0.43636363636363634,0.33707865168539325,0.9968454258675079,2,29
0.78,0.8571428571428571,0.2926829268292683,0.43636363636363634,0.33707865168539325,0.9968454258675079,2,29
0.79,1.0,0.2926829268292683,0.4528301886792453,0.3409090909090909,1.0,0,29
0.8,1.0,0.2926829268292683,0.4528301886792453,0.3409090909090909,1.0,0,29
0.81,1.0,0.21951219512195122,0.36,0.26011560693641617,1.0,0,32
0.8200000000000001,1.0,0.14634146341463414,0.2553191489361702,0.17647058823529413,1.0,0,35
0.8300000000000001,1.0,0.12195121951219512,0.21739130434782608,0.14792899408284024,1.0,0,36
0.8400000000000001,1.0,0.12195121951219512,0.21739130434782608,0.14792899408284024,1.0,0,36
0.85,1.0,0.12195121951219512,0.21739130434782608,0.14792899408284024,1.0,0,36
0.86,1.0,0.12195121951219512,0.21739130434782608,0.14792899408284024,1.0,0,36
0.87,1.0,0.12195121951219512,0.21739130434782608,0.14792899408284024,1.0,0,36
0.88,1.0,0.12195121951219512,0.21739130434782608,0.14792899408284024,1.0,0,36
0.89,1.0,0.12195121951219512,0.21739130434782608,0.14792899408284024,1.0,0,36
0.9,1.0,0.12195121951219512,0.21739130434782608,0.14792899408284024,1.0,0,36
0.91,1.0,0.12195121951219512,0.21739130434782608,0.14792899408284024,1.0,0,36
0.92,1.0,0.12195121951219512,0.21739130434782608,0.14792899408284024,1.0,0,36
0.93,1.0,0.12195121951219512,0.21739130434782608,0.14792899408284024,1.0,0,36
0.9400000000000001,1.0,0.12195121951219512,0.21739130434782608,0.14792899408284024,1.0,0,36
0.9500000000000001,1.0,0.12195121951219512,0.21739130434782608,0.14792899408284024,1.0,0,36
0.9600000000000001,1.0,0.12195121951219512,0.21739130434782608,0.14792899408284024,1.0,0,36
0.97,1.0,0.12195121951219512,0.21739130434782608,0.14792899408284024,1.0,0,36
0.98,1.0,0.12195121951219512,0.21739130434782608,0.14792899408284024,1.0,0,36
0.99,1.0,0.12195121951219512,0.21739130434782608,0.14792899408284024,1.0,0,36
