recall,precision
1.0,0.06074074074074074
1.0,0.25625
1.0,0.3565217391304348
1.0,0.41836734693877553
1.0,0.4659090909090909
1.0,0.4880952380952381
1.0,0.5189873417721519
1.0,0.5324675324675324
0.975609756097561,0.5333333333333333
0.975609756097561,0.547945205479452
0.975609756097561,0.5797101449275363
0.975609756097561,0.5970149253731343
0.975609756097561,0.625
0.975609756097561,0.6349206349206349
0.975609756097561,0.6666666666666666
0.975609756097561,0.6779661016949152
0.975609756097561,0.6896551724137931
0.975609756097561,0.7272727272727273
0.975609756097561,0.7407407407407407
0.975609756097561,0.7547169811320755
0.975609756097561,0.7692307692307693
0.975609756097561,0.8
0.975609756097561,0.8163265306122449
0.975609756097561,0.8333333333333334
0.975609756097561,0.851063829787234
0.975609756097561,0.8695652173913043
0.975609756097561,0.8888888888888888
0.975609756097561,0.9302325581395349
0.975609756097561,0.9523809523809523
0.9512195121951219,0.9512195121951219
0.9512195121951219,0.975
0.9512195121951219,1.0
0.926829268292683,1.0
0.9024390243902439,1.0
0.8780487804878049,1.0
0.8536585365853658,1.0
0.8292682926829268,1.0
0.8048780487804879,1.0
0.7804878048780488,1.0
0.7560975609756098,1.0
0.7073170731707317,1.0
0.6829268292682927,1.0
0.6341463414634146,1.0
0.5853658536585366,1.0
0.5609756097560976,1.0
0.5121951219512195,1.0
0.4878048780487805,1.0
0.4634146341463415,1.0
0.43902439024390244,1.0
0.3902439024390244,1.0
0.3170731707317073,1.0
0.21951219512195122,1.0
0.1951219512195122,1.0
0.17073170731707318,1.0
0.12195121951219512,1.0
0.0975609756097561,1.0
0.04878048780487805,1.0
0.024390243902439025,1.0
0.0,1.0
