false_positive_rate,true_positive_rate
0.0,0.0
0.0,0.04878048780487805
0.0,0.12195121951219512
0.0,0.36585365853658536
0.0,0.4146341463414634
0.0,0.4878048780487805
0.0,1.0
0.031545741324921134,1.0
0.03470031545741325,1.0
0.03627760252365931,1.0
0.04416403785488959,1.0
0.04574132492113565,1.0
0.04889589905362776,1.0
0.055205047318611984,1.0
0.05993690851735016,1.0
0.0694006309148265,1.0
0.07255520504731862,1.0
0.07570977917981073,1.0
0.0804416403785489,1.0
0.08675078864353312,1.0
0.09305993690851735,1.0
0.09621451104100946,1.0
0.10094637223974763,1.0
0.11041009463722397,1.0
0.11198738170347003,1.0
0.11514195583596215,1.0
0.11829652996845426,1.0
0.12618296529968454,1.0
0.1277602523659306,1.0
0.13249211356466878,1.0
0.15930599369085174,1.0
0.16246056782334384,1.0
0.167192429022082,1.0
0.17350157728706625,1.0
0.19873817034700317,1.0
0.20504731861198738,1.0
0.20662460567823343,1.0
0.27287066246056785,1.0
0.27602523659305994,1.0
0.277602523659306,1.0
0.28391167192429023,1.0
0.2870662460567823,1.0
0.2902208201892745,1.0
0.2917981072555205,1.0
0.30757097791798105,1.0
0.30914826498422715,1.0
0.3138801261829653,1.0
0.31545741324921134,1.0
0.33753943217665616,1.0
0.34069400630914826,1.0
0.3470031545741325,1.0
0.34858044164037855,1.0
0.35173501577287064,1.0
0.35331230283911674,1.0
0.39589905362776023,1.0
0.40063091482649843,1.0
0.44637223974763407,1.0
0.44952681388012616,1.0
0.4589905362776025,1.0
0.5914826498422713,1.0
0.6072555205047319,1.0
0.7066246056782335,1.0
1.0,1.0
