recall,precision
1.0,0.06074074074074074
1.0,0.16334661354581673
1.0,0.164
1.0,0.1646586345381526
1.0,0.16532258064516128
1.0,0.1659919028340081
1.0,0.16666666666666666
1.0,0.1673469387755102
1.0,0.1680327868852459
1.0,0.16872427983539096
1.0,0.16942148760330578
1.0,0.17012448132780084
1.0,0.17083333333333334
1.0,0.17154811715481172
1.0,0.1722689075630252
1.0,0.1729957805907173
1.0,0.17372881355932204
1.0,0.17446808510638298
1.0,0.1752136752136752
1.0,0.1759656652360515
1.0,0.17672413793103448
1.0,0.1774891774891775
1.0,0.1782608695652174
1.0,0.17903930131004367
1.0,0.17982456140350878
1.0,0.18061674008810572
1.0,0.18141592920353983
1.0,0.18222222222222223
1.0,0.18303571428571427
1.0,0.18385650224215247
1.0,0.18468468468468469
1.0,0.18552036199095023
1.0,0.18636363636363637
1.0,0.1872146118721461
1.0,0.18807339449541285
1.0,0.1889400921658986
1.0,0.18981481481481483
1.0,0.19069767441860466
1.0,0.19158878504672897
1.0,0.19248826291079812
1.0,0.19339622641509435
1.0,0.1943127962085308
1.0,0.19523809523809524
1.0,0.19617224880382775
1.0,0.1971153846153846
1.0,0.19806763285024154
1.0,0.19902912621359223
1.0,0.2
1.0,0.20098039215686275
1.0,0.2019704433497537
1.0,0.20297029702970298
1.0,0.20398009950248755
1.0,0.205
1.0,0.20603015075376885
1.0,0.20707070707070707
1.0,0.20812182741116753
1.0,0.20918367346938777
1.0,0.21025641025641026
1.0,0.211340206185567
1.0,0.21243523316062177
1.0,0.21354166666666666
1.0,0.21465968586387435
1.0,0.21578947368421053
1.0,0.21693121693121692
1.0,0.21808510638297873
1.0,0.2192513368983957
1.0,0.22043010752688172
1.0,0.22162162162162163
1.0,0.22282608695652173
1.0,0.22404371584699453
1.0,0.22527472527472528
1.0,0.2265193370165746
1.0,0.22777777777777777
1.0,0.22905027932960895
1.0,0.2303370786516854
1.0,0.23163841807909605
1.0,0.23295454545454544
1.0,0.2342857142857143
1.0,0.23563218390804597
1.0,0.23699421965317918
1.0,0.23837209302325582
1.0,0.23976608187134502
1.0,0.2411764705882353
1.0,0.24260355029585798
1.0,0.24404761904761904
1.0,0.24550898203592814
1.0,0.2469879518072289
1.0,0.24848484848484848
1.0,0.25
0.975609756097561,0.24539877300613497
0.975609756097561,0.24691358024691357
0.975609756097561,0.2484472049689441
0.975609756097561,0.25
0.975609756097561,0.25157232704402516
0.975609756097561,0.25316455696202533
0.975609756097561,0.25477707006369427
0.975609756097561,0.2564102564102564
0.975609756097561,0.25806451612903225
0.975609756097561,0.2597402597402597
0.975609756097561,0.26143790849673204
