recall,precision
1.0,0.06074074074074074
1.0,0.45054945054945056
1.0,0.4606741573033708
1.0,0.4880952380952381
1.0,0.5774647887323944
1.0,0.6507936507936508
1.0,0.6949152542372882
1.0,0.7068965517241379
1.0,0.7321428571428571
1.0,0.7884615384615384
1.0,0.803921568627451
1.0,0.8541666666666666
1.0,0.8723404255319149
1.0,0.9318181818181818
1.0,0.9761904761904762
1.0,1.0
0.975609756097561,1.0
0.9512195121951219,1.0
0.926829268292683,1.0
0.9024390243902439,1.0
0.8780487804878049,1.0
0.7560975609756098,1.0
0.04878048780487805,1.0
0.0,1.0
