false_positive_rate,true_positive_rate
0.0,0.0
0.0,0.12195121951219512
0.0,0.2926829268292683
0.0031545741324921135,0.2926829268292683
0.0031545741324921135,0.34146341463414637
0.00473186119873817,0.34146341463414637
0.00473186119873817,0.3902439024390244
0.006309148264984227,0.3902439024390244
0.006309148264984227,0.6341463414634146
0.00946372239747634,0.6341463414634146
0.00946372239747634,0.6585365853658537
0.011041009463722398,0.6585365853658537
0.011041009463722398,0.7073170731707317
0.014195583596214511,0.7073170731707317
0.014195583596214511,0.7317073170731707
0.015772870662460567,0.7317073170731707
0.015772870662460567,0.7560975609756098
0.022082018927444796,0.7560975609756098
0.022082018927444796,0.8292682926829268
0.026813880126182965,0.8292682926829268
0.026813880126182965,0.8780487804878049
0.031545741324921134,0.8780487804878049
0.031545741324921134,0.926829268292683
0.050473186119873815,0.926829268292683
0.050473186119873815,0.9512195121951219
0.052050473186119876,0.9512195121951219
0.052050473186119876,0.975609756097561
0.055205047318611984,0.975609756097561
1.0,1.0
