recall,precision
1.0,0.06074074074074074
1.0,0.5694444444444444
1.0,0.5774647887323944
1.0,0.5857142857142857
1.0,0.5942028985507246
1.0,0.6029411764705882
1.0,0.6119402985074627
1.0,0.6212121212121212
1.0,0.6307692307692307
0.975609756097561,0.625
0.975609756097561,0.6349206349206349
0.975609756097561,0.6451612903225806
0.975609756097561,0.6557377049180327
0.975609756097561,0.6666666666666666
0.975609756097561,0.6779661016949152
0.975609756097561,0.6896551724137931
0.975609756097561,0.7017543859649122
0.0,1.0
