false_positive_rate,true_positive_rate
0.0,0.0
0.0,0.0975609756097561
0.0,0.21951219512195122
0.0015772870662460567,0.21951219512195122
0.0015772870662460567,0.4634146341463415
0.0031545741324921135,0.4634146341463415
0.0031545741324921135,0.5365853658536586
0.00473186119873817,0.5365853658536586
0.00473186119873817,0.7804878048780488
0.006309148264984227,0.7804878048780488
0.006309148264984227,0.8780487804878049
0.007886435331230283,0.8780487804878049
0.007886435331230283,0.975609756097561
0.20031545741324921,0.975609756097561
0.20031545741324921,1.0
0.5646687697160884,1.0
1.0,1.0
