false_positive_rate,true_positive_rate
0.0,0.0
0.0,0.024390243902439025
0.0,0.04878048780487805
0.0,0.0975609756097561
0.0,0.12195121951219512
0.0,0.17073170731707318
0.0,0.21951219512195122
0.0,0.3170731707317073
0.0,0.3902439024390244
0.0,0.43902439024390244
0.0,0.5121951219512195
0.0,0.5609756097560976
0.0,0.5853658536585366
0.0,0.6829268292682927
0.0,0.7073170731707317
0.0,0.7560975609756098
0.0,0.9512195121951219
0.0031545741324921135,0.9512195121951219
0.0031545741324921135,0.975609756097561
0.00473186119873817,0.975609756097561
0.007886435331230283,0.975609756097561
0.015772870662460567,0.975609756097561
0.01892744479495268,0.975609756097561
0.02365930599369085,0.975609756097561
0.028391167192429023,0.975609756097561
0.031545741324921134,0.975609756097561
0.03627760252365931,0.975609756097561
0.03785488958990536,0.975609756097561
0.04258675078864353,0.975609756097561
0.04574132492113565,0.975609756097561
0.052050473186119876,0.975609756097561
0.055205047318611984,0.975609756097561
0.056782334384858045,1.0
0.05993690851735016,1.0
0.06782334384858044,1.0
0.07413249211356467,1.0
0.08990536277602523,1.0
0.1167192429022082,1.0
0.18769716088328076,1.0
1.0,1.0
