recall,precision
1.0,0.06074074074074074
1.0,0.4019607843137255
1.0,0.5061728395061729
1.0,0.6029411764705882
1.0,0.6612903225806451
1.0,0.6949152542372882
1.0,0.7735849056603774
1.0,0.82
1.0,0.8541666666666666
1.0,0.8913043478260869
1.0,0.9318181818181818
1.0,0.9534883720930233
1.0,0.9761904761904762
1.0,1.0
0.975609756097561,1.0
0.9512195121951219,1.0
0.926829268292683,1.0
0.9024390243902439,1.0
0.8780487804878049,1.0
0.8292682926829268,1.0
0.8048780487804879,1.0
0.7804878048780488,1.0
0.7560975609756098,1.0
0.7073170731707317,1.0
0.6829268292682927,1.0
0.6585365853658537,1.0
0.5853658536585366,1.0
0.5609756097560976,1.0
0.5365853658536586,1.0
0.4634146341463415,1.0
0.3902439024390244,1.0
0.2926829268292683,1.0
0.17073170731707318,1.0
0.14634146341463414,1.0
0.07317073170731707,1.0
0.024390243902439025,1.0
0.0,1.0
