false_positive_rate,true_positive_rate
0.0,0.0
0.0,0.024390243902439025
0.0,0.07317073170731707
0.0,0.14634146341463414
0.0,0.17073170731707318
0.0,0.2926829268292683
0.0,0.3902439024390244
0.0,0.5365853658536586
0.0,0.5853658536585366
0.0,0.6585365853658537
0.0,0.7073170731707317
0.0,0.7560975609756098
0.0,0.8292682926829268
0.0,0.8780487804878049
0.0,1.0
0.00473186119873817,1.0
0.014195583596214511,1.0
0.01892744479495268,1.0
0.028391167192429023,1.0
0.033123028391167195,1.0
0.04258675078864353,1.0
0.06309148264984227,1.0
0.09621451104100946,1.0
1.0,1.0
