false_positive_rate,true_positive_rate
0.0,0.0
0.0015772870662460567,0.0
0.0015772870662460567,0.04878048780487805
0.006309148264984227,0.04878048780487805
0.006309148264984227,0.17073170731707318
0.007886435331230283,0.17073170731707318
0.007886435331230283,0.1951219512195122
0.00946372239747634,0.1951219512195122
0.00946372239747634,0.24390243902439024
0.015772870662460567,0.24390243902439024
0.015772870662460567,0.3170731707317073
0.01892744479495268,0.3170731707317073
0.01892744479495268,0.34146341463414637
0.022082018927444796,0.34146341463414637
0.022082018927444796,0.36585365853658536
0.028391167192429023,0.36585365853658536
0.028391167192429023,0.3902439024390244
0.03470031545741325,0.3902439024390244
0.03470031545741325,0.43902439024390244
0.03627760252365931,0.43902439024390244
0.03627760252365931,0.4634146341463415
0.04100946372239748,0.4634146341463415
0.04100946372239748,0.5121951219512195
0.04258675078864353,0.5121951219512195
0.04258675078864353,0.5365853658536586
0.04416403785488959,0.5365853658536586
0.04416403785488959,0.5609756097560976
0.04889589905362776,0.5609756097560976
0.04889589905362776,0.5853658536585366
0.05362776025236593,0.5853658536585366
0.05362776025236593,0.6097560975609756
0.056782334384858045,0.6097560975609756
0.056782334384858045,0.6585365853658537
0.0583596214511041,0.6585365853658537
0.0583596214511041,0.6829268292682927
0.061514195583596214,0.6829268292682927
0.061514195583596214,0.7073170731707317
0.06309148264984227,0.7073170731707317
0.06309148264984227,0.7560975609756098
0.06624605678233439,0.7560975609756098
0.06624605678233439,0.8048780487804879
0.06782334384858044,0.8048780487804879
0.06782334384858044,0.8292682926829268
0.0694006309148265,0.8292682926829268
0.0694006309148265,0.9024390243902439
0.07097791798107256,0.9024390243902439
0.07097791798107256,0.975609756097561
0.1750788643533123,0.975609756097561
0.1750788643533123,1.0
0.3659305993690852,1.0
1.0,1.0
