threshold,precision,recall,f1,f2,specificity,false_positive,false_negative
0.01,0.3867924528301887,1.0,0.5578231292517006,0.7592592592592593,0.8974763406940063,65,0
0.02,0.5942028985507246,1.0,0.7454545454545455,0.8798283261802575,0.9558359621451105,28,0
0.03,0.6507936507936508,1.0,0.7884615384615384,0.9030837004405287,0.9652996845425867,22,0
0.04,0.7068965517241379,1.0,0.8282828282828283,0.9234234234234234,0.973186119873817,17,0
0.05,0.7068965517241379,1.0,0.8282828282828283,0.9234234234234234,0.973186119873817,17,0
0.060000000000000005,0.7321428571428571,1.0,0.845360824742268,0.9318181818181818,0.9763406940063092,15,0
0.06999999999999999,0.7321428571428571,1.0,0.845360824742268,0.9318181818181818,0.9763406940063092,15,0
0.08,0.7884615384615384,1.0,0.8817204301075269,0.9490740740740741,0.9826498422712934,11,0
0.09,0.7884615384615384,1.0,0.8817204301075269,0.9490740740740741,0.9826498422712934,11,0
0.09999999999999999,0.803921568627451,1.0,0.8913043478260869,0.9534883720930233,0.9842271293375394,10,0
0.11,0.803921568627451,1.0,0.8913043478260869,0.9534883720930233,0.9842271293375394,10,0
0.12,0.803921568627451,1.0,0.8913043478260869,0.9534883720930233,0.9842271293375394,10,0
0.13,0.8541666666666666,1.0,0.9213483146067416,0.9669811320754716,0.9889589905362776,7,0
0.14,0.8723404255319149,1.0,0.9318181818181818,0.9715639810426541,0.9905362776025236,6,0
0.15000000000000002,0.8723404255319149,1.0,0.9318181818181818,0.9715639810426541,0.9905362776025236,6,0
0.16,0.8913043478260869,1.0,0.9425287356321839,0.9761904761904762,0.9921135646687698,5,0
0.17,0.9111111111111111,1.0,0.9534883720930233,0.9808612440191388,0.9936908517350158,4,0
0.18000000000000002,0.9111111111111111,1.0,0.9534883720930233,0.9808612440191388,0.9936908517350158,4,0
0.19,0.9111111111111111,1.0,0.9534883720930233,0.9808612440191388,0.9936908517350158,4,0
0.2,0.9111111111111111,1.0,0.9534883720930233,0.9808612440191388,0.9936908517350158,4,0
0.21000000000000002,0.9111111111111111,1.0,0.9534883720930233,0.9808612440191388,0.9936908517350158,4,0
0.22,0.9111111111111111,1.0,0.9534883720930233,0.9808612440191388,0.9936908517350158,4,0
0.23,0.9318181818181818,1.0,0.9647058823529412,0.9855769230769231,0.9952681388012619,3,0
0.24000000000000002,0.9534883720930233,1.0,0.9761904761904762,0.9903381642512077,0.9968454258675079,2,0
0.25,0.9534883720930233,1.0,0.9761904761904762,0.9903381642512077,0.9968454258675079,2,0
0.26,0.9534883720930233,1.0,0.9761904761904762,0.9903381642512077,0.9968454258675079,2,0
0.27,0.9534883720930233,1.0,0.9761904761904762,0.9903381642512077,0.9968454258675079,2,0
0.28,0.9534883720930233,1.0,0.9761904761904762,0.9903381642512077,0.9968454258675079,2,0
0.29000000000000004,0.9534883720930233,1.0,0.9761904761904762,0.9903381642512077,0.9968454258675079,2,0
0.3,0.9534883720930233,1.0,0.9761904761904762,0.9903381642512077,0.9968454258675079,2,0
0.31,0.9761904761904762,1.0,0.9879518072289156,0.9951456310679612,0.998422712933754,1,0
0.32,0.9761904761904762,1.0,0.9879518072289156,0.9951456310679612,0.998422712933754,1,0
0.33,0.9761904761904762,1.0,0.9879518072289156,0.9951456310679612,0.998422712933754,1,0
0.34,1.0,1.0,1.0,1.0,1.0,0,0
0.35000000000000003,1.0,1.0,1.0,1.0,1.0,0,0
0.36000000000000004,1.0,1.0,1.0,1.0,1.0,0,0
0.37,1.0,1.0,1.0,1.0,1.0,0,0
0.38,1.0,1.0,1.0,1.0,1.0,0,0
0.39,1.0,1.0,1.0,1.0,1.0,0,0
0.4,1.0,1.0,1.0,1.0,1.0,0,0
0.41000000000000003,1.0,1.0,1.0,1.0,1.0,0,0
0.42000000000000004,1.0,1.0,1.0,1.0,1.0,0,0
0.43,1.0,1.0,1.0,1.0,1.0,0,0
0.44,1.0,1.0,1.0,1.0,1.0,0,0
0.45,1.0,1.0,1.0,1.0,1.0,0,0
