false_positive_rate,true_positive_rate
0.0,0.0
0.0,0.024390243902439025
0.0,0.5365853658536586
0.0015772870662460567,0.5365853658536586
0.0015772870662460567,0.6829268292682927
0.0031545741324921135,0.6829268292682927
0.0031545741324921135,0.7560975609756098
0.00473186119873817,0.7560975609756098
0.00473186119873817,0.9024390243902439
0.006309148264984227,0.9024390243902439
0.006309148264984227,0.9512195121951219
0.011041009463722398,0.9512195121951219
0.011041009463722398,0.975609756097561
0.16561514195583596,0.975609756097561
0.16561514195583596,1.0
0.8201892744479495,1.0
1.0,1.0
