threshold,precision,recall,f1,f2,specificity,false_positive,false_negative
0.01,0.0622154779969651,1.0,0.11714285714285715,0.24908869987849333,0.025236593059936908,618,0
0.02,0.0681063122923588,1.0,0.12752721617418353,0.26762402088772846,0.11514195583596215,561,0
0.03,0.0944700460829493,1.0,0.1726315789473684,0.342809364548495,0.3801261829652997,393,0
0.04,0.15708812260536398,1.0,0.271523178807947,0.4823529411764706,0.6529968454258676,220,0
0.05,0.22346368715083798,0.975609756097561,0.36363636363636365,0.5830903790087464,0.7807570977917981,139,1
0.060000000000000005,0.3007518796992481,0.975609756097561,0.45977011494252873,0.6734006734006734,0.8533123028391167,93,1
0.06999999999999999,0.34782608695652173,0.975609756097561,0.5128205128205128,0.7168458781362007,0.8817034700315457,75,1
0.08,0.40404040404040403,0.975609756097561,0.5714285714285714,0.7604562737642585,0.9069400630914827,59,1
0.09,0.425531914893617,0.975609756097561,0.5925925925925926,0.7751937984496124,0.9148264984227129,54,1
0.09999999999999999,0.43956043956043955,0.975609756097561,0.6060606060606061,0.7843137254901961,0.919558359621451,51,1
0.11,0.4444444444444444,0.975609756097561,0.6106870229007634,0.7874015748031497,0.9211356466876972,50,1
0.12,0.45977011494252873,0.975609756097561,0.625,0.796812749003984,0.9258675078864353,47,1
0.13,0.45977011494252873,0.975609756097561,0.625,0.796812749003984,0.9258675078864353,47,1
0.14,0.47619047619047616,0.975609756097561,0.64,0.8064516129032258,0.9305993690851735,44,1
0.15000000000000002,0.5,0.975609756097561,0.6611570247933884,0.819672131147541,0.9369085173501577,40,1
0.16,0.5063291139240507,0.975609756097561,0.6666666666666666,0.823045267489712,0.9384858044164038,39,1
0.17,0.5128205128205128,0.975609756097561,0.6722689075630253,0.8264462809917356,0.9400630914826499,38,1
0.18000000000000002,0.5194805194805194,0.975609756097561,0.6779661016949152,0.8298755186721992,0.9416403785488959,37,1
0.19,0.5263157894736842,0.975609756097561,0.6837606837606838,0.8333333333333334,0.943217665615142,36,1
0.2,0.5263157894736842,0.975609756097561,0.6837606837606838,0.8333333333333334,0.943217665615142,36,1
0.21000000000000002,0.5333333333333333,0.975609756097561,0.6896551724137931,0.8368200836820083,0.944794952681388,35,1
0.22,0.5405405405405406,0.975609756097561,0.6956521739130435,0.8403361344537815,0.9463722397476341,34,1
0.23,0.5405405405405406,0.975609756097561,0.6956521739130435,0.8403361344537815,0.9463722397476341,34,1
0.24000000000000002,0.547945205479452,0.975609756097561,0.7017543859649122,0.8438818565400844,0.9479495268138801,33,1
0.25,0.547945205479452,0.975609756097561,0.7017543859649122,0.8438818565400844,0.9479495268138801,33,1
0.26,0.547945205479452,0.975609756097561,0.7017543859649122,0.8438818565400844,0.9479495268138801,33,1
0.27,0.547945205479452,0.975609756097561,0.7017543859649122,0.8438818565400844,0.9479495268138801,33,1
0.28,0.5555555555555556,0.975609756097561,0.7079646017699115,0.847457627118644,0.9495268138801262,32,1
0.29000000000000004,0.5633802816901409,0.975609756097561,0.7142857142857143,0.851063829787234,0.9511041009463722,31,1
0.3,0.5714285714285714,0.975609756097561,0.7207207207207207,0.8547008547008547,0.9526813880126183,30,1
0.31,0.5714285714285714,0.975609756097561,0.7207207207207207,0.8547008547008547,0.9526813880126183,30,1
0.32,0.5797101449275363,0.975609756097561,0.7272727272727273,0.8583690987124464,0.9542586750788643,29,1
0.33,0.5797101449275363,0.975609756097561,0.7272727272727273,0.8583690987124464,0.9542586750788643,29,1
0.34,0.5797101449275363,0.975609756097561,0.7272727272727273,0.8583690987124464,0.9542586750788643,29,1
0.35000000000000003,0.5797101449275363,0.975609756097561,0.7272727272727273,0.8583690987124464,0.9542586750788643,29,1
0.36000000000000004,0.5797101449275363,0.975609756097561,0.7272727272727273,0.8583690987124464,0.9542586750788643,29,1
0.37,0.5797101449275363,0.975609756097561,0.7272727272727273,0.8583690987124464,0.9542586750788643,29,1
0.38,0.5797101449275363,0.975609756097561,0.7272727272727273,0.8583690987124464,0.9542586750788643,29,1
0.39,0.5797101449275363,0.975609756097561,0.7272727272727273,0.8583690987124464,0.9542586750788643,29,1
0.4,0.5882352941176471,0.975609756097561,0.7339449541284404,0.8620689655172413,0.9558359621451105,28,1
0.41000000000000003,0.6153846153846154,0.975609756097561,0.7547169811320755,0.8733624454148472,0.9605678233438486,25,1
0.42000000000000004,0.6153846153846154,0.975609756097561,0.7547169811320755,0.8733624454148472,0.9605678233438486,25,1
0.43,0.625,0.975609756097561,0.7619047619047619,0.8771929824561403,0.9621451104100947,24,1
0.44,0.625,0.975609756097561,0.7619047619047619,0.8771929824561403,0.9621451104100947,24,1
0.45,0.6349206349206349,0.975609756097561,0.7692307692307693,0.8810572687224669,0.9637223974763407,23,1
0.46,0.6349206349206349,0.975609756097561,0.7692307692307693,0.8810572687224669,0.9637223974763407,23,1
0.47000000000000003,0.6349206349206349,0.975609756097561,0.7692307692307693,0.8810572687224669,0.9637223974763407,23,1
0.48000000000000004,0.6349206349206349,0.975609756097561,0.7692307692307693,0.8810572687224669,0.9637223974763407,23,1
0.49,0.6349206349206349,0.975609756097561,0.7692307692307693,0.8810572687224669,0.9637223974763407,23,1
0.5,0.6349206349206349,0.975609756097561,0.7692307692307693,0.8810572687224669,0.9637223974763407,23,1
0.51,0.6349206349206349,0.975609756097561,0.7692307692307693,0.8810572687224669,0.9637223974763407,23,1
0.52,0.6557377049180327,0.975609756097561,0.7843137254901961,0.8888888888888888,0.9668769716088328,21,1
0.53,0.6557377049180327,0.975609756097561,0.7843137254901961,0.8888888888888888,0.9668769716088328,21,1
0.54,0.6557377049180327,0.975609756097561,0.7843137254901961,0.8888888888888888,0.9668769716088328,21,1
0.55,0.6557377049180327,0.975609756097561,0.7843137254901961,0.8888888888888888,0.9668769716088328,21,1
0.56,0.6666666666666666,0.975609756097561,0.7920792079207921,0.8928571428571429,0.9684542586750788,20,1
0.5700000000000001,0.6666666666666666,0.975609756097561,0.7920792079207921,0.8928571428571429,0.9684542586750788,20,1
0.5800000000000001,0.6779661016949152,0.975609756097561,0.8,0.8968609865470852,0.9700315457413249,19,1
0.59,0.6779661016949152,0.975609756097561,0.8,0.8968609865470852,0.9700315457413249,19,1
0.6,0.6779661016949152,0.975609756097561,0.8,0.8968609865470852,0.9700315457413249,19,1
0.61,0.6779661016949152,0.975609756097561,0.8,0.8968609865470852,0.9700315457413249,19,1
0.62,0.6779661016949152,0.975609756097561,0.8,0.8968609865470852,0.9700315457413249,19,1
0.63,0.6779661016949152,0.975609756097561,0.8,0.8968609865470852,0.9700315457413249,19,1
0.64,0.6779661016949152,0.975609756097561,0.8,0.8968609865470852,0.9700315457413249,19,1
