threshold,accuracy,precision,recall,specificity,sensitivity,f1,f2,balanced_accuracy,mcc,roc_auc,pr_auc,brier_score,tn,fp,fn,tp,fpr,fnr
0.1,0.9688888888888889,0.7209302325581395,0.775,0.9811023622047244,0.775,0.7469879518072289,0.7635467980295566,0.8780511811023621,0.730978639460536,0.9906692913385827,0.8728729314454975,0.02462695933834902,623,12,9,31,0.01889763779527559,0.225
0.15000000000000002,0.9748148148148148,0.7948717948717948,0.775,0.9874015748031496,0.775,0.7848101265822784,0.7788944723618091,0.8812007874015748,0.771506841607143,0.9906692913385827,0.8728729314454975,0.02462695933834902,627,8,9,31,0.012598425196850394,0.225
0.2,0.9748148148148148,0.8285714285714286,0.725,0.9905511811023622,0.725,0.7733333333333333,0.7435897435897436,0.857775590551181,0.7619624192942591,0.9906692913385827,0.8728729314454975,0.02462695933834902,629,6,11,29,0.009448818897637795,0.275
0.25,0.9733333333333334,0.84375,0.675,0.9921259842519685,0.675,0.75,0.703125,0.8335629921259843,0.741215067704132,0.9906692913385827,0.8728729314454975,0.02462695933834902,630,5,13,27,0.007874015748031496,0.325
0.30000000000000004,0.9733333333333334,0.8928571428571429,0.625,0.9952755905511811,0.625,0.7352941176470589,0.6648936170212766,0.8101377952755906,0.7344637964457952,0.9906692913385827,0.8728729314454975,0.02462695933834902,632,3,15,25,0.004724409448818898,0.375
0.35,0.9688888888888889,0.88,0.55,0.9952755905511811,0.55,0.676923076923077,0.5945945945945946,0.7726377952755905,0.681720309404371,0.9906692913385827,0.8728729314454975,0.02462695933834902,632,3,18,22,0.004724409448818898,0.45
0.4,0.9674074074074074,0.875,0.525,0.9952755905511811,0.525,0.65625,0.5706521739130435,0.7601377952755906,0.6633675052918857,0.9906692913385827,0.8728729314454975,0.02462695933834902,632,3,19,21,0.004724409448818898,0.475
0.45000000000000007,0.9674074074074074,0.9090909090909091,0.5,0.9968503937007874,0.5,0.6451612903225806,0.5494505494505495,0.7484251968503937,0.6606547556377165,0.9906692913385827,0.8728729314454975,0.02462695933834902,633,2,20,20,0.0031496062992125984,0.5
0.5,0.9644444444444444,0.9,0.45,0.9968503937007874,0.45,0.6,0.5,0.7234251968503937,0.622219124438565,0.9906692913385827,0.8728729314454975,0.02462695933834902,633,2,22,18,0.0031496062992125984,0.55
0.55,0.9629629629629629,0.8947368421052632,0.425,0.9968503937007874,0.425,0.576271186440678,0.4748603351955307,0.7109251968503937,0.6022081058373385,0.9906692913385827,0.8728729314454975,0.02462695933834902,633,2,23,17,0.0031496062992125984,0.575
0.6,0.9614814814814815,0.9375,0.375,0.9984251968503937,0.375,0.5357142857142857,0.42613636363636365,0.6867125984251968,0.5795858556317323,0.9906692913385827,0.8728729314454975,0.02462695933834902,634,1,25,15,0.0015748031496062992,0.625
0.65,0.96,0.9333333333333333,0.35,0.9984251968503937,0.35,0.509090909090909,0.4,0.6742125984251968,0.5580958782374718,0.9906692913385827,0.8728729314454975,0.02462695933834902,634,1,26,14,0.0015748031496062992,0.65
0.7000000000000001,0.9585185185185185,1.0,0.3,1.0,0.3,0.46153846153846156,0.3488372093023256,0.65,0.5360320109303934,0.9906692913385827,0.8728729314454975,0.02462695933834902,635,0,28,12,0.0,0.7
0.75,0.9585185185185185,1.0,0.3,1.0,0.3,0.46153846153846156,0.3488372093023256,0.65,0.5360320109303934,0.9906692913385827,0.8728729314454975,0.02462695933834902,635,0,28,12,0.0,0.7
0.8,0.9555555555555556,1.0,0.25,1.0,0.25,0.4,0.29411764705882354,0.625,0.48859165415639083,0.9906692913385827,0.8728729314454975,0.02462695933834902,635,0,30,10,0.0,0.75
0.85,0.9511111111111111,1.0,0.175,1.0,0.175,0.2978723404255319,0.20958083832335328,0.5875,0.40786614277132843,0.9906692913385827,0.8728729314454975,0.02462695933834902,635,0,33,7,0.0,0.825
0.9,0.9466666666666667,1.0,0.1,1.0,0.1,0.18181818181818182,0.12195121951219512,0.55,0.3076278162380605,0.9906692913385827,0.8728729314454975,0.02462695933834902,635,0,36,4,0.0,0.9
