Algorithm,Accuracy,Precision,Recall,F1_Score,F2_Score,AUC_ROC,AUC_PR,MCC,True_Positives,False_Positives,True_Negatives,False_Negatives,Total_Cost_INR,Train_Time_Sec,Prediction_Latency_ms,Model_Size_KB
TabularTransformer,0.9985185185185185,1.0,0.975,0.9873417721518988,0.9798994974874372,0.9987795275590552,0.9890845070422535,0.9866443032481743,39,0,635,1,150000.0,53.616639137268066,0.05821651882595486,274.00390625
WideAndDeep,0.9940740740740741,0.9285714285714286,0.975,0.9512195121951219,0.9653465346534653,0.9946062992125984,0.9701540904645729,0.9483867198500531,39,3,632,1,165000.0,12.239952564239502,0.00717092443395544,50.31640625
TabNetStyle,0.9940740740740741,0.9285714285714286,0.975,0.9512195121951219,0.9653465346534653,0.9936614173228346,0.9799751243781094,0.9483867198500531,39,3,632,1,165000.0,12.485448360443115,0.0105338626437717,23.8984375
VariationalAutoencoder,0.9911111111111112,0.8863636363636364,0.975,0.9285714285714286,0.9558823529411765,0.9968503937007874,0.972741530930553,0.9250365487109932,39,5,630,1,175000.0,6.971299648284912,0.006047708016854745,7.21484375
AutoencoderAnomaly,0.9881481481481481,0.8478260869565217,0.975,0.9069767441860465,0.9466019417475728,0.9969685039370079,0.9591932042660968,0.9031897732914085,39,7,628,1,185000.0,11.170700788497925,0.006240562156394677,9.28125
LSTMSequential,0.9925925925925926,0.9487179487179487,0.925,0.9367088607594937,0.9296482412060302,0.995748031496063,0.9748316343719817,0.9328599378379165,37,2,633,3,460000.0,18.085482597351074,0.027106956199363427,566.25390625
DeepAndCrossNetwork,0.9851851851851852,0.8260869565217391,0.95,0.8837209302325582,0.9223300970873787,0.9966141732283464,0.9765206766917294,0.8782907291022436,38,8,627,2,340000.0,7.491745710372925,0.007564050179940682,42.4140625
MLP,0.9777777777777777,0.7358490566037735,0.975,0.8387096774193549,0.9154929577464789,0.9961417322834646,0.9713827940118248,0.8364791139265444,39,14,621,1,220000.0,12.989151239395142,0.008878354673032407,188.75390625
NODE,0.9792592592592593,0.76,0.95,0.8444444444444444,0.9047619047619048,0.9940157480314961,0.9412389638525228,0.8394392579076436,38,12,623,2,360000.0,15.973472833633423,0.00896877712673611,5.18359375
ResNetTabular,0.9851851851851852,0.8571428571428571,0.9,0.8780487804878049,0.8910891089108911,0.9952755905511811,0.946906202481452,0.8704608481642605,36,6,629,4,630000.0,9.715897560119629,0.012704354745370369,402.50390625
