params,mean_test_score,std_test_score,rank_test_score
"{""alpha"": 0.1}",0.6161821185086843,0.045456258254590244,3
"{""alpha"": 1.0}",0.6171021235715668,0.04408419702703629,2
"{""alpha"": 5.0}",0.6231851950210515,0.039824645014223656,1
